Keiser University,Seahawks,Fort Lauderdale,Official website
Kennesaw State University,Owls,Kennesaw,kennesaw.edu
Kent State University,Golden Flashes,Kent,kent.edu
University of Kentucky,Wildcats,Lexington,uky.edu
Kentucky Christian University,Grayson,kcu.edu
Kentucky State University,Thorobreds,Thorobrettes,Frankfort,kysu.edu
Kentucky Wesleyan College,Owensboro,kwc.edu
Kenyon College,Lords (men's teams),Ladies (women's teams),Gambier,kenyon.edu
King University,The Tornado,Bristol,king.edu
Knox College (Illinois),Galesburg,knox.edu
Kutztown University of Pennsylvania,Golden Bears,Kutztown,Kutztown.edu
La Salle University,Explorers,Philadelphia,lasalle.edu
LaGrange College,LaGrange,lagrange.edu
Lafayette College,Leopards,Easton,lafayette.edu
Lake Erie College,Storm,Painesville,lec.edu
Lake Forest College,Foresters,Lake Forest,lakeforest.edu
Lake-Sumter State College,Leesburg,lssc.edu
Lake Superior State University,Lakers,Sault Sainte Marie,lssu.edu
Lamar University,Cardinals,Lady Cardinals,Beaumont,lamar.edu
Langston University,Lions,Langston,langston.edu
Lawrence University,Appleton,lawrence.edu
Le Moyne College,Dolphins,Syracuse,lemoyne.edu
Lebanon Valley College,Flying Dutchmen,Annville,lvc.edu
Leech Lake Tribal College,Cass Lake,lltc.edu
Lehigh University,Mountain Hawks,Bethlehem,lehigh.edu
LeMoyne-Owen College,LOC,Memphis,loc.edu
Lesley University,Lynx,Cambridge,lesley.edu
Liberty University,Liberty Flames,Lady Flames,Lynchburg,liberty.edu
Life University,Marietta,life.edu
Lincoln Christian College,Red Lions,Lincoln,lincolnchristian.edu
Lincoln University (Missouri),Blue Tigers,Jefferson City,lincolnu.edu
Lincoln University (Pennsylvania),Chester County,lincoln.edu
Lincoln Memorial University,Railsplitters,Harrogate,lmunet.edu
Lindenwood University,Lions,St. Charles,lindenwood.edu
Lindsey Wilson College,Columbia,lindsey.edu
Linfield College,Wildcats,McMinnville,linfield.edu
Lipscomb University,Bisons,Nashville,lipscomb.edu
Livingstone College,Blue Bears,Salisbury,livingstone.edu
Lock Haven University of Pennsylvania,Bald Eagles,Lock Haven,lockhaven.edu
Longwood University,Lancers,Farmville,longwood.edu
Loras College,Duhawks,Dubuque,loras.edu
Los Angeles City College,Cubs,East Hollywood,lacitycollege.edu
Los Angeles Harbor College,Wilmington,lahc.edu
Los Angeles Mission College,Los Angeles,LAMission.edu
Los Angeles Pierce College,Brahmas,piercecollege.edu
Los Angeles Southwest College,Los Angeles,lasc.edu
